OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,NaturalGasAvailabe,SteamAvailabe
1,NonResidential,Hotel,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,88434.0,,,,,60.0,7456910.0,False,Compliant,,249.98,True,True
2,NonResidential,Hotel,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,8664479.0,False,Compliant,,295.86,True,False
3,NonResidential,Hotel,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,756493.0,,,,,43.0,73937112.0,False,Compliant,,2089.28,True,True
5,NonResidential,Hotel,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,61320.0,,,,,56.0,6946800.5,False,Compliant,,286.43,True,True
8,NonResidential,Hotel,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,14656503.0,False,Compliant,,505.01,True,False
9,Nonresidential COS,Other,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,88830.0,,,,,,12581712.0,False,Compliant,,301.81,True,False
10,NonResidential,Hotel,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,81352.0,,,,,27.0,6062767.5,False,Compliant,,176.14,True,False
11,NonResidential,Other,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,102761.0,,,,,,7067881.5,False,Compliant,,221.51,True,True
12,NonResidential,Hotel,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,163984.0,,,,,43.0,14194054.0,False,Compliant,,392.16,True,False
13,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,47.60284,-122.33184,1910,1.0,6,63712,1496,62216,Multifamily Housing,56132.0,,,,,1.0,4807679.5,False,Compliant,,151.12,True,True
